smiles,sweet,sour,woody,floral,citrus,spicy,musk,fresh,green,warm,fruity,smoky,powdery,aquatic,herbal,amber,leather,earthy,ozonic,metallic,fatty,waxy
CCCCCCCCCC(=O)Oc1ccccc1C,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(CCC)CCCCCC(=O)Oc1c(C)cccc1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C(C(Oc1ccccc1C)=O)CCCCCCCC,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1c(C)c(OC(=O)CCCCCCCCC)ccc1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O(C(CCCCCCCCC)=O)c1ccccc1C,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1=CC(=CC(=C1)O)C=O,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cc(O)cc(C=O)c1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
c1(cc(O)ccc1)C=O,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
c1(cc(ccc1)C=O)O,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O=Cc1cccc(O)c1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C(=O)c1cc(O)ccc1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C1=CC=C(C=C1)CCC(=O)O,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
c1ccc(cc1)CCC(=O)O,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
O=C(O)CCc1ccccc1,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
c1cccc(CCC(O)=O)c1,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
c1c(cccc1)CCC(=O)O,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
C(O)(CCc1ccccc1)=O,0.5515464544296265,0.05670103058218956,0.020618557929992676,1.0,0.0,0.530927836894989,0.48969075083732605,0.036082472652196884,0.020618557929992676,0.04123711585998535,0.05154639482498169,0.015463917516171932,0.025773197412490845,0.0,0.010309278964996338,0.5257732272148132,0.020618557929992676,0.0,0.0,0.0,0.5206185579299927,0.0
C1=CC(=CC=C1CO)O,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
c1(ccc(cc1)O)CO,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
c1cc(ccc1O)CO,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
c1c(ccc(CO)c1)O,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
c1c(ccc(O)c1)CO,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
OCc1ccc(O)cc1,0.5355286002159119,0.02253032848238945,0.017331022769212723,0.025996534153819084,0.017331022769212723,0.4974003732204437,0.0,0.48873481154441833,0.02946273796260357,1.0,1.0,0.010398614220321178,0.010398614220321178,0.0,0.02946273796260357,0.019064126536250114,0.008665511384606361,0.008665511384606361,0.0,0.0,0.008665511384606361,0.0
C1=CC(=CC=C1C=O)O,1.0,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0
c1c(O)ccc(c1)C=O,1.0,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0
O=Cc1ccc(O)cc1,1.0,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0
c1c(ccc(C=O)c1)O,1.0,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0
O=Cc1ccc(cc1)O,1.0,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0
